Date,Description,Amount,Balance
2026-08-01,SALARY DEPOSIT ACB,32000.00,32000.00
2026-08-02,WOOLWORTHS SANDTON,-845.50,31154.50
2026-08-02,ENGEN QUICKSHOP FOURWAYS,-620.00,30534.50
2026-08-03,NETFLIX.COM,-199.00,30335.50
2026-08-04,UBER *TRIP HELP.UBER.COM,-88.00,30247.50
2026-08-05,CHECKERS HYPER,-1240.75,29006.75
2026-08-06,VODACOM PREPAID,-299.00,28707.75
2026-08-07,DISCOVERY HEALTH PREMIUM,-2450.00,26257.75
2026-08-09,TAKEALOT.COM ORDER,-1099.00,25158.75
2026-08-10,ATM CASH WITHDRAWAL,-1000.00,24158.75
2026-08-12,MONTHLY ACCOUNT FEE,-115.00,24043.75
2026-08-15,PICK N PAY FAMILY,-932.40,23111.35
2026-08-18,DSTV PREMIUM,-879.00,22232.35
2026-08-20,VIDA E CAFFE,-64.00,22168.35
2026-08-22,EASYEQUITIES TRANSFER,-2000.00,20168.35
